,upc,department,product_name,crv_by_05_cents,Price,size,upce,has_crv,sugar_column,is_taxable,Images,sugar_tax,contains_promotion
75,11132125318,Pets,ALPO Wet:Prime Cuts Homestyle w/Lamb & Rice In Gravy,1.0,1.89,13.20 OZ,,False,False,True,https://i5.walmartimages.com/asr/d0b391fe-c947-4eeb-b9e7-1b24d2d8b708_1.88fdae4e8e9de540c2d8866711ef1af1.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,0,False
1023,29049091442,Household Essentials,CAtchmaster SCENTED FLY RIBBON,1.0,1.89,"=""1""",02914402,False,False,True,,0,False
1148,35000511058,Health & Wellness,Colgate Cavity Protection,1.0,1.89,2.5 Oz,03510508,False,False,True,,0,False
1172,36000123234,Health & Wellness,Kleenex:Pocket Pack,1.0,1.39,10 CT,03632304,False,False,True,,0,False
1664,41167100059,Health & Wellness,Rolaids Antacid Regular Strength Mint,1.0,1.89,12 ct,,False,False,True,,0,False
1711,41294000079,Household Essentials,S.o.s. All Surface Thick Scrubber Sponge,1.0,1.89,1.00 Ct,0412947904100729,False,False,True,,0,False
1712,41294000086,Household Essentials,Sos Heavy Duty Sponge / Scrubber,1.0,1.89,1 CT,0412948604100826,False,False,True,,0,False
1981,43100456445,Household Essentials,Mead  Memo,1.0,1.59,,,False,False,True,,0,False
2211,50000293339,Pets,Friskies Sauce Sations With Salmon & Tuna,1.0,1.39,5.5 Oz,05033309,False,False,True,,0,False
2217,50000421541,Pets,Friskies Wet:Classic Pate Mixed Grill,1.0,1.39,5.50 OZ,05015401,False,False,True,,0,False
2218,50000421848,Pets,Friskies Wet:Classic Pate Turkey & Giblets Dinner,1.0,1.39,5.50 OZ,05018408,False,False,True,,0,False
2221,50000423347,Pets,Friskies Wet:Classic Pate Salmon Dinner,1.0,1.39,5.50 OZ,05033407,False,False,True,,0,False
2223,50000425143,Pets,Friskies Wet:Classic Pate Classic Seafood Entree (Ps #1221042),1.0,1.39,5.50 OZ,05051403,False,False,True,,0,False
2236,50000577965,Pets,Friskies Wet:Tasty Treasures With Chicken & Cheese In Gravy,1.0,1.39,5.50 OZ,05079605,False,False,True,,0,False
2268,50700007717,Household Essentials,Life goods,1.0,1.99,,,False,False,True,,0,False
2387,53200072247,Household Essentials,Ocelo Sponges,1.0,1.89,2 Pcs,05322427,False,False,True,,0,False
3079,76171102829,Household Essentials,Little Trees,1.0,1.89,,,False,False,True,,0,False
3106,76314302017,Health & Wellness,Emergen-C:Raspberry,1.0,1.89,,,False,False,True,,0,False
3107,76314302024,Health & Wellness,Emergen-C:Tangerine,1.0,1.89,,,False,False,True,,0,False
3108,76314302031,Health & Wellness,Emergen-C:Super Orange,1.0,1.89,,,False,False,True,,0,False
3226,77874000054,Household Essentials,Marvel lub oil,1.0,1.89,,07787454,False,False,True,,0,False
3298,78300000082,Health & Wellness,Tek Pro Firm,1.0,1.89,,07830832,False,False,True,,0,False
3848,307660739197,Health & Wellness,Tums EX 750 Assorted Fruit,1.0,1.89,8.00 CT,0,False,False,True,,0,False
4615,750557003053,Household Essentials,Hand Needle Compact ,1.0,1.89,,0,False,False,True,,0,False
4624,753182900681,Household Essentials,Bottle Opener,1.0,1.89,,0,False,False,True,,0,False
4704,764608002230,Household Essentials,Papel clip,1.0,1.89,,0,False,False,True,,0,False
4905,810003440242,Household Essentials,"Comet,, bla quador",1.0,1.89,,0,False,False,True,,0,False
4934,811435002206,Household Essentials,Chore Boy Heavy Duty Scrubbing Sponge,1.0,1.89,1 ct,0,False,False,True,,0,False
4935,811435002220,Household Essentials,Chore Boy All Purpose Two Sided Scrubber,1.0,1.89,1 ct,0,False,False,True,,0,False
5784,7501056349288,Health & Wellness,Dove Pink/Rosa Soap,1.0,1.89,4.75 Oz,0,False,False,True,,0,False
31,12000016431,Soda,MDW: Amp Energy,1.0,2.78,16.00 OZ,01264301,True,True,True,,0,False
32,12000027215,Soda,Mountain Dew,1.0,1.64,16.00 OZ,01272105,True,True,True,,0,False
49,12000567490,Soda,Lipton Brisk:Fruit Punch,2.0,1.89,1.00 LT,01274900,True,True,True,https://pics.drugstore.com/prodimg/416894/450.jpg,0,False
95,17000009469,Soda,Armour:with Chicken and Beef,1.0,1.39,3.00 OZ,01794609,True,True,True,https://pics.drugstore.com/prodimg/597339/450.jpg,0,False
96,21136010374,Soda,topo chico: agua mineral,1.0,1.89,16.00 OZ,,True,True,True,https://pics.drugstore.com/prodimg/597187/450.jpg,0,False
98,21136016444,Soda,Topo Chico: Grape,1.0,1.89,,,True,True,True,,0,False
100,21136110449,Soda,Topo Chico:Lime,1.0,1.89,12.00 FL OZ,,True,True,True,,0,False
139,34100002596,Soda,Henry Weinhard's:Root Beer,1.0,1.84,12.00 OZ,03425916,True,True,True,,0,False
176,41508302074,Soda,S.Pelkegrino Blood orange & Black Rasp,1.0,1.59,11.15oz,,True,True,True,,0,False
188,41508803151,Soda,S.PELLEGRINO ESSENZA 330ML,1.0,1.59,11.15oz,,True,True,True,,0,False
256,50000421947,Soda,Friskies Wet:Meaty Bits Chicken Dinner In Gravy,1.0,1.39,5.50 OZ,05019407,True,True,True,,0,False
412,78000052169,Soda,A & W Root Beer Can,12.0,10.99,12 PK,07821609,True,True,True,,0,False
413,78000052404,Soda,A & W Root Beer,1.0,2.49,20.00 FL OZ,07824004,True,True,True,,0,False
414,78000052466,Soda,A & W Root Beer,1.0,3.99,2 L,07824606,True,True,True,,0,False
416,78000053401,Soda,A & W Diet Root Beer,2.0,2.39,20.00 OZ,07834001,True,False,True,,0,False
419,78000054408,Soda,A & W Cream Soda,1.0,2.49,20.00 FL OZ,07844008,True,True,True,,0,False
504,90478410012,Soda,Jarritos Mandarin,1.0,1.84,12.5oz,,True,True,True,,0,False
507,90478410104,Soda,Jarritos Soda Mango,1.0,1.84,12.50 Oz,,True,True,True,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png,0,False
562,654871010493,Soda,Crystal Geyser:Sparkling Water-Cranberry Clementine ,2.0,1.39,1.25 Liter ,0,True,False,True,,0,False
563,654871012435,Soda,Crystal Geyser:Sparkling Water-Orange,2.0,1.39,1.25 Liter ,0,True,False,True,,0,False
564,654871012459,Soda,Crystal Geyser:Sparkling Water-Mixed Berry,2.0,1.39,1.25 Liter ,0,True,False,True,,0,False
565,654871012473,Soda,Crystal Geyser:Sparkling Water-Pineapple Mango,2.0,1.39,1.25 Liter ,0,True,False,True,,0,False
584,682430611768,Soda,VOSS:Sparkling Artesian Water,2.0,4.49,27.10 OZ,0,True,False,True,,0,False
808,857755004728,Soda,New York Seltzer,1.0,1.89,"=""1""",0,True,True,True,,0,False
2,499127930015,Fresh Produce,Pears,1.0,1.59,,0,False,False,False,,0,False
12,499912790015,Fresh Produce,Org. Fuji Apl,1.0,1.89,,0,False,False,False,,0,False
13,499912790022,Fresh Produce,Lime,1.0,0.69,,0,False,False,False,,0,False
119,12000161230,Teas/coffees,Brisk Iced Tea Strawberry,2.0,1.89,1 L,01212300,True,False,False,,0,False
153,12546011099,Candies/Bars/Gum,Trident,1.0,1.89,14 ct,,False,False,False,,0,False
154,12546011112,Candies/Bars/Gum,Trident Tropical Twist,1.0,1.68,14 Pcs,,False,False,False,,0,False
158,12546312417,Candies/Bars/Gum,Dentyne Ice:Arctic Chill - Split 2 Fit Pack,1.0,1.89,24.00 G,,False,False,False,https://i5.walmartimages.com/asr/38af97bd-0559-48cd-b3b1-deeafe1c5786_1.4be7217a48d380af7a5d8ef904788132.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,0,False
159,12546312554,Candies/Bars/Gum,Dentyne Ice: Peppermint- Split 2 Fit Pack,1.0,1.89,24.00 G,,False,False,False,,0,False
160,12546315012,Candies/Bars/Gum,Dentyne Ice:Spearmint 16 Pieces,1.0,1.89,1.00 PK,,False,False,False,,0,False
161,12546315098,Candies/Bars/Gum,Dentyne Fire Spicy Cinnamon,1.0,1.89,24.00 G,,False,False,False,,0,False
163,12546676090,Candies/Bars/Gum,Trident White Peppermint,1.0,1.89,24.00 G,,False,False,False,,0,False
164,12546676113,Candies/Bars/Gum,Trident White Spearmint 16 Pieces,1.0,1.89,1.00 PK,,False,False,False,,0,False
166,12546676397,Candies/Bars/Gum,Trident White Cool Rush 16 Pieces,1.0,1.89,1.00 PK,,False,False,False,,0,False
587,22000008404,Candies/Bars/Gum,Extra Winterfresh Sugarfree,1.0,1.89,15.00 CT,02284004,False,False,False,,0,False
589,22000008916,Candies/Bars/Gum,Extra Peppermint,1.0,1.89,15.00 CT,02289106,False,False,False,,0,False
593,22000013200,Candies/Bars/Gum,Eclipse Winterfrost Sugarfree,1.0,1.89,18.00 CT,02232000,False,False,False,,0,False
594,22000013279,Candies/Bars/Gum,Eclipse Polar Ice Sugarfree,1.0,1.89,18.00 CT,02232709,False,False,False,,0,False
595,22000013316,Candies/Bars/Gum,Eclipse Spearmint Sugarfree,1.0,1.89,18.00 CT,02233106,False,False,False,,0,False
818,28000616502,Dairy,Nestle Nesquik:Chocolate,1.0,1.89,8.00 FL OZ,02865002,False,False,False,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png,0,False
873,28400199148,Chips,Lay's Classic Potato Chips,1.0,4.09,8 Oz,,False,False,False,,0,False
888,28400261531,Nuts/Seeds,Sabritas pea nuts 1 5/8,1.0,0.69,1 5/8,,False,False,False,,0,False
889,28400261548,Nuts/Seeds,Sabritas,1.0,0.69,1.58 oz,,False,False,False,,0,False
890,28400261555,Nuts/Seeds,Sobritas peanut 46g,1.0,0.69,46g,,False,False,False,,0,False
891,28400261562,Nuts/Seeds,Frito: Sunflower Ranch,1.0,0.69,1 3/4oz,,False,False,False,,0,False
892,28400261579,Nuts/Seeds,Sunflwer seed orginal,1.0,0.69,"=""1.34""",,False,False,False,,0,False
893,28400261609,Nuts/Seeds,SUNFLOWER BBQ,1.0,0.69,,,False,False,False,,0,False
894,28400261630,Nuts/Seeds,Fritolay sunflower seeds,1.0,0.69,.2oz,,False,False,False,,0,False
895,28400261654,Nuts/Seeds,Frito: Flaming hot Lime Extra Long,1.0,0.69,1.34 oz,,False,False,False,,0,False
959,28400435031,Food,Cheetos Puff,1.0,1.89,3.75 Oz,,False,False,False,,0,False
962,28400437899,Food,Smartfood White Cheddar Popcorn,1.0,1.89,2.25 Oz,,False,False,False,,0,False
968,28400516686,Chips,Ruffles:original,1.0,4.79,8oz,,False,False,False,,0,False
970,28400516914,Chips,ruffles  cheddar sour cream,1.0,4.79,"=""125""",,False,False,False,,0,False
974,28400518574,Chips,Doritos 3d,1.0,4.79,,,False,False,False,,0,False
982,28400589277,Chips,Fritos Falvor Twist Honey BBQ,1.0,4.49,9/12 Oz,,False,False,False,,0,False
988,28400589895,Chips,Flamin' Hot Cheetos,1.0,4.49,8oz,,False,False,False,,0,False
989,28400590020,Chips,Cheetos Crunchy Flamin Hot Limon,1.0,4.49,"=""1""",,False,False,False,https://pics.drugstore.com/prodimg/443132/450.jpg,0,False
1000,28400652759,Nuts/Seeds,Sunflower Seeds Original,1.0,0.69,1.3 oz,,False,False,False,,0,False
1043,31146007622,Food,Nongshim Chicken Flavor,1.0,1.89,3.03 Oz,,False,False,False,,0,False
1051,31146250103,Food,Nong Shim:Hot & Spicy,1.0,1.89,3.03 OZ,,False,False,False,,0,False
1052,31146250301,Food,Nong Shim Spicy Kimchi,1.0,1.89,3.03 OZ,,False,False,False,,0,False
1054,31146262571,Food,Nong Shim:Spicy Chicken,1.0,1.89,3.03 OZ,,False,False,False,,0,False
1055,31146262748,Food,Nong Shim Spicy Shrimp,1.0,1.89,3.03 OZ,,False,False,False,,0,False
1056,31146263257,Food,Nongshim Spicy Lobster,1.0,1.89,3.03 OZ,,False,False,False,,0,False
1113,34000002467,Candies/Bars/Gum,Kit Kat,1.0,1.59,1.50 OZ,03424607,False,False,False,,0,False
1323,38000131905,Candies/Bars/Gum,Rice Krispies Treats Blasted W/ M&M Minis,1.0,1.59,2.1  oz,03819005,False,False,False,,0,False
1337,38000218576,Candies/Bars/Gum,Pop tart pretzel,1.0,1.59,,03885706,False,False,False,,0,False
1346,38000590993,Candies/Bars/Gum,Kellogg's Rice Krispies Treats:The Original,1.0,1.59,2.20 OZ,03809903,False,False,False,,0,False
1374,39047001466,Food,Walkers Shortbread:2ct Shortbread Fingers,1.0,1.39,2 ct,03914606,False,False,False,,0,False
1384,39501100018,Food,Arandas Corn Tortilla,1.0,1.59,12oz,,False,False,False,,0,False
1595,40000001607,Candies/Bars/Gum,Skittles Original,1.0,1.59,2.17 OZ,04016007,False,False,False,,0,False
1604,40000004356,Candies/Bars/Gum,Twix Cookie Bars,1.0,1.59,1.79 oz,04043506,False,False,False,,0,False
1608,40000422068,Candies/Bars/Gum,Milky Way Bar,1.0,1.59,1.84 OZ,04020608,False,False,False,,0,False
1610,40000424314,Candies/Bars/Gum,Snickers Candy Bar,1.0,1.59,1.86 OZ,04043104,False,False,False,,0,False
1611,40000459842,Candies/Bars/Gum,Dove:Milk Chocolate,1.0,1.59,1.44 OZ,04098402,False,False,False,,0,False
1612,40000459859,Candies/Bars/Gum,Dove Dark Chocolate,1.0,1.59,1.44 oz,04098509,False,False,False,,0,False
1617,40000514251,Candies/Bars/Gum,Snickers,1.0,1.59,"=""1""",04042501,False,False,False,,0,False
1730,41364080512,Candies/Bars/Gum,"American Licorice:Straws, Blue Raspberry",1.0,1.59,2.00 OZ,,False,False,False,,0,False
1731,41364080529,Candies/Bars/Gum,Sour Punch Straws:Zappin' Apple,1.0,1.59,2.00 OZ,,False,False,False,,0,False
1732,41364080536,Candies/Bars/Gum,Sour Punch Straws:Strikin' Strawberry,1.0,1.59,2.00 OZ,,False,False,False,https://pics.drugstore.com/prodimg/14165/450.jpg,0,False
1733,41364080758,Candies/Bars/Gum,Red Vines Original Red,1.0,1.39,"=""1""",,False,False,False,,0,False
1780,41548825533,Ice Creams,Dreyer's Dibs:Nestle Crunch,1.0,3.99,4.00 FL OZ,,False,False,False,,0,False
1846,42238301832,Candies/Bars/Gum,Haribo Gold-Bears - Original,1.0,1.59,2.00 OZ,04218322,False,False,False,,0,False
1963,43000200544,Food,Jell-O:Orange,1.0,1.7,6.00 OZ,04305404,False,False,False,,0,False
2017,44000007492,Food,Oreo Chocolate Cookies,1.0,2.99,5.25 OZ,04474902,False,False,False,,0,False
2033,44000034030,Food,Oreo Double Stuff Chocolate Sandwich Cookies,1.0,2.99,5.6 Oz,04440300,False,False,False,,0,False
2034,44000040703,Food,belvita,1.0,1.39,,04407003,False,False,False,,0,False
2139,48400004297,Food,Crystal:Louisiana's Pure Extra Hot,1.0,1.89,6.00 OZ,,False,False,False,,0,False
2207,50000235001,Ice Creams,Nestle Toll House:Chocolate Chip Cookie Sandwich,1.0,3.99,7.00 FL OZ,05050001,False,False,False,,0,False
2222,50000424948,Food,Friskies Wet:Classic Pate Ocean Whitefish & Tuna Dinner,1.0,1.39,5.50 OZ,05049408,False,False,False,,0,False
2370,52100034911,Food,McCormick Original Taco Seasoning Mix,1.0,1.39,1 oz,,False,False,False,,0,False
2371,52100034935,Food,Mild Taco mix,1.0,1.39,"=""1""",,False,False,False,,0,False
2395,54881000024,Teas/coffees,Ahmad Tea:Peppermint & Lemon,1.0,3.82,20ct-1.4oz,,True,False,False,,0,False
2396,54881000048,Teas/coffees,Ahmad Tea:Fruit & Herbs Mixed Citrus,1.0,3.82,20ct-1.4oz,,True,False,False,,0,False
2397,54881000055,Teas/coffees,Ahmad Tea:Mixed Berries,1.0,3.82,20ct-1.4oz,05488155,True,False,False,,0,False
2455,62356341169,Food,Mid East:Six Bean Salad,1.0,1.91,20 oz,,False,False,False,,0,False
2512,70271003949,Chips,Anderson peanut butter,1.0,1.89,,07039429,False,False,False,,0,False
2642,70852375007,Dairy,Clover Half & Half,1.0,1.89,Pint,,False,False,False,,0,False
2728,71720009314,Candies/Bars/Gum,Tootsie Roll:Candy,1.0,1.59,2.25 OZ,,False,False,False,,0,False
2730,71720049723,Candies/Bars/Gum,Tootsie Dots,1.0,1.59,2.25 OZ,,False,False,False,,0,False
2774,72273384897,Food,S&W:In Zesty Tomato Sauce,1.0,1.89,15.50 OZ,07248927,False,False,False,,0,False
2787,72486002205,Food,Jiffy Corn Muffin Mix,1.0,1.89,8.5 oz,,False,False,False,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png,0,False
2788,72554001604,Ice Creams,Nestle Drumstick:Vanilla Cone,1.0,2.69,4.60 FL OZ,,False,False,False,https://pics.drugstore.com/prodimg/580285/450.jpg,0,False
2793,72554218606,Ice Creams,Drumstick:King Size Vanilla Chocolate Swirl,1.0,3.99,"=""1""",,False,False,False,,0,False
2794,72554218903,Ice Creams,Drumstick:King Size Triple Chocolate,1.0,3.99,"=""1""",,False,False,False,,0,False
2795,72554392528,Ice Creams,Wonka Outrageous Orange Push Pop,1.0,2.15,2.75 Oz,,False,False,False,,0,False
2796,72554694561,Ice Creams,sweetarts,1.0,2.69,,,False,False,False,,0,False
2823,72999803535,Food,Olives To Go,1.0,1.39,,,False,False,False,,0,False
2824,72999805539,Food,Pimiento olive to go,1.0,1.39,,,False,False,False,,0,False
2889,73390000110,Candies/Bars/Gum,"Mentos:The Chewy Mint, Mint",1.0,1.39,1.32 OZ,,False,False,False,,0,False
2890,73390000165,Candies/Bars/Gum,Mentos:Fruit,1.0,1.39,1.32 OZ,,False,False,False,,0,False
2891,73390001834,Candies/Bars/Gum,"Mentos:Chewy Mint, Green Apple",1.0,1.39,1.32 OZ,,False,False,False,,0,False
2938,74570016006,Ice Creams,Haagen-Dazs:Vanilla & Milk Chocolate,1.0,3.99,3.00 FL OZ,,False,False,False,,0,False
2941,74570026005,Ice Creams,"Haagen-Dazs:Ice Cream Bars, Chocolate & Dark Chocolate",1.0,3.99,3.67 OZ,,False,False,False,,0,False
2944,74570036004,Ice Creams,Haagen-Dazs:Vanilla Milk Chocolate Almond,1.0,3.99,3.00 FL OZ,,False,False,False,,0,False
2955,74570146000,Ice Creams,"Haagen-Dazs:Ice Cream Bar, Coffee & Almond Crunch",1.0,3.99,3.67 OZ,,False,False,False,,0,False
2971,74570597987,Ice Creams,Haagen - Dazs Vanilla Caramel,1.0,3.99,3 Oz,,False,False,False,,0,False
3073,76150232158,Nuts/Seeds,Act 2 Theater Popcorn,1.0,1.39,2.27 oz,,False,False,False,,0,False
3074,76150232233,Nuts/Seeds,Act II Butter Popcorn,1.0,1.39,2.75 Oz,,False,False,False,,0,False
3119,76397001074,Food,La Costena:Green Pickled,1.0,1.39,7.00 OZ,,False,False,False,,0,False
3136,76580148036,Food,Loacker:Gran Pasticceria: Dark Hazelnut,1.0,3.82,100gr,,False,False,False,,0,False
3491,84253240017,Food,Imagine Broth:Organic Low Sodium Veggie Broth ,1.0,4.69,32 oz,08400127,False,False,False,,0,False
3493,84253240246,Food,Imagine Broth:Organic Low Sodium Beef Broth ,1.0,4.69,32 oz,08402426,False,False,False,,0,False
3494,84253240444,Food,"Imagine:Soup, Portobello Mushroom, Creamy",1.0,5.99,32.00 OZ,08404424,False,False,False,,0,False
3496,84253240482,Food,Imagine Broth:Organic Vegetable Broth ,1.0,4.69,32 oz,08404822,False,False,False,,0,False
3781,99900711154,Candies/Bars/Gum,Raisinets,1.0,1.59,1.5oz,,False,False,False,,0,False
3783,99900908363,Food,crunch,1.0,1.59,,,False,False,False,,0,False
4004,613008715267,Teas/coffees,Arizona: Green Tea w/ Ginseng & Honey,2.0,1.39,23.00 FL OZ,0,True,False,False,https://i5.walmartimages.com/asr/00eecbe2-4451-4243-b3ec-1993a15b77e8_1.bf923c0a087bd1b6c74a70fe439f985e.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,0,False
4007,613008718459,Teas/coffees,Arizona: Energy Herbal Tonic,2.0,1.39,23.50 OZ,0,True,False,False,,0,False
4012,613008725839,Teas/coffees,Arizona: Half Iced Tea & Half Tropical,2.0,1.39,23.00 Oz,0,True,False,False,,0,False
4014,613008735418,Teas/coffees,Arizona: Mucho Mango,2.0,1.39,23.00 FL OZ,0,True,False,False,,0,False
4016,613008735470,Teas/coffees,Arizona: Raspberry Iced Tea,2.0,1.39,23 Oz,0,True,False,False,,0,False
4017,613008751159,Teas/coffees,Arizona green tea,2.0,1.59,,0,True,False,False,,0,False
4092,643392500088,Food,Scharffen Berger:(Baking) Bitter Sweet 72%,1.0,7.69,9.7 oz,0,False,False,False,,0,False
4093,643392500095,Food,Scharffen Berger:(Baking) Semi Sweet 62%,1.0,7.69,9.7 oz,0,False,False,False,,0,False
4322,720579728012,Food,Gulf Pacific Brown Rice,1.0,1.59,16 oz,0,False,False,False,,0,False
4361,722252601445,Candies/Bars/Gum,Clif Builder's:Chocolate Mint,1.0,2.49,2.40 OZ,0,False,False,False,,0,False
4648,757528005276,Chips,Barcel Takis Fuego,1.0,1.89,2 oz,0,False,False,False,,0,False
5098,835143005922,Teas/coffees,Ito En  :Ito En: Oi Ocha Green Tea Can ,1.0,1.59,11.5 oz,0,True,False,False,,0,False
5452,857040004136,Food,Laiki :Red Rice Crackers,1.0,1.89,0.74oz,0,False,False,False,,0,False
5453,857040004143,Food,Laiki :Black Rice Crackers,1.0,1.89,0.74oz,0,False,False,False,,0,False
5488,857983004736,Candies/Bars/Gum,HI CHEW Kiwi,1.0,1.39,1 76 oz,0,False,False,False,,0,False
5589,873983000028,Candies/Bars/Gum,Hi-Chew:Strawberry,1.0,1.39,1.76 OZ,0,False,False,False,,0,False
5590,873983000059,Candies/Bars/Gum,Hi-Chew:Mango,1.0,1.39,1.76 OZ,0,False,False,False,,0,False
5809,8697480064671,Food,Santa sophia rice,1.0,1.89,16oz,0,False,False,False,,0,False
1,86928458,Water/Juices,Uludag Gazoz:Efsane,2.0,1.59,250 ml,0,True,True,False,,0,False
2,86931960,Water/Juices,Uludag Gazoz:Orange,2.0,1.59,250 ml,0,True,True,False,,0,False
103,22652191448,Water/Juices,Parrot Coconut Water,2.0,1.89,16.4 oz,,True,False,False,https://i5.walmartimages.com/asr/68e5e11b-02da-483a-8e8c-01de219544ad_1.35138a6fbeacb236c4f1241d099c01fb.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,0,False
104,22652192018,Water/Juices,Parrot Guava Juice,2.0,1.89,16.4 oz,,True,True,False,,0,False
159,38947000067,Water/Juices,Volvic Spring Water:Volvic Water  0.5 ltr,2.0,1.59,0.5 Ltr,03894767,True,False,False,,0,False
258,51000138019,Water/Juices,"V8:Vegetable Juice, Spicy Hot",1.0,1.84,12.00 OZ,05180109,True,True,False,,0,False
274,52000102475,Sports Drinks,Gatorade Glacier Cherry,1.0,1.59,20 Oz,05224705,True,True,False,,0,False
280,52000135152,Sports Drinks,Gatorade G Series:Lemon-Lime,2.0,2.89,28.00 FL OZ,05251502,True,True,False,,0,False
289,52000324815,Sports Drinks,Gatorade G Series Cool Blue,1.0,1.59,20 oz,05248105,True,True,False,,0,False
292,52000328677,Drinks,Gatorade G Series 02 Perform Orange,2.0,1.84,20.00 FL OZ,05286707,True,True,False,,0,False
326,71142000500,Water/Juices,Arrowhead:Deposit,1.0,0.94,0.50 LT,,True,True,False,,0,False
366,75140005000,Water/Juices,Crystal Geyser:Natural w/ Flat Cap,2.0,1.89,1.50 LT,,True,False,False,,0,False
367,75140005024,Water/Juices,Crystal Geyser:Natural,1.0,0.95,16.90 OZ,,True,False,False,,0,False
368,75140005055,Water/Juices,Crystal Geyser:Natural w/ Sport Cap,2.0,1.59,1.00 LT,,True,False,False,,0,False
372,75140700028,Water/Juices,Crystal Geyser:Natural w/ Sport Cap,1.0,1.59,23.60 FL OZ,07514248,True,False,False,,0,False
512,96619756803,Water/Juices,Kirk Purified Water,1.0,0.95,16.9 oz,,True,False,False,,0,False
547,613008735159,Water/Juices,Arizona: Lemon Iced Tea,2.0,1.39,23.00 FL OZ,0,True,True,False,https://i5.walmartimages.com/asr/cc8330ef-9e38-4c27-87e3-78134bc98c16_1.16dd79ba9b1f9bb852b468e8c5f9f776.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,0,False
551,632565000012,Water/Juices,Fiji:Natural Artesian Water,1.0,1.99,1.05 PT,0,True,False,False,,0,False
552,632565000029,Water/Juices,Fiji,2.0,3.99,1 L,0,True,True,False,,0,False
582,682430400119,Water/Juices,VOSS Water,2.0,3.49,28.74 oz,0,True,False,False,,0,False
583,682430611744,Water/Juices,Voss Water,2.0,4.49,1.5 PT,0,True,False,False,,0,False
803,857416006245,Water/Juices,Alkaline Water,1.0,1.59,591ml,0,True,False,False,,0,False
878,8690723511208,Water/Juices,Uludag Gazoz:Mineral Water ( Green) ,1.0,1.39,200 ml,0,True,False,False,,0,False
